datetime,precipitation,humidity,temperature,pressure,station,station_code,year,precip_2h,precip_6h,pressure_drop,flood_risk
2025-04-28 21:00:00,0.4,86.0,18.3,894.3,NOVA_FRIBURGO,A624,2025,0.3999999999999929,0.39999999999998226,-1.0,0
2021-10-15 20:00:00,0.0,70.0,23.2,895.6,NOVA_FRIBURGO,A624,2021,0.2000000000000009,0.2000000000000009,-0.39999999999997726,0
2025-04-17 08:00:00,0.0,95.0,12.5,897.9,NOVA_FRIBURGO,A624,2025,0.0,0.0,0.0,0
2024-01-20 03:00:00,,88.0,20.2,894.4,NOVA_FRIBURGO,A624,2024,,,0.0,0
2023-01-11 02:00:00,0.0,93.0,18.1,899.1,NOVA_FRIBURGO,A624,2023,0.0,6.199999999999997,-0.3000000000000682,0
2025-02-27 14:00:00,0.0,61.0,24.1,901.0,NOVA_FRIBURGO,A624,2025,0.0,0.0,0.0,0
2024-07-16 07:00:00,0.0,91.0,10.6,905.3,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2024-10-21 07:00:00,0.0,94.0,16.6,899.0,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.39999999999997726,0
2021-09-26 07:00:00,0.0,88.0,14.4,899.1,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.20000000000004547,0
2024-05-13 14:00:00,0.0,35.0,26.5,897.0,NOVA_FRIBURGO,A624,2024,0.0,0.1999999999999858,0.0,0
2021-11-27 21:00:00,0.0,77.0,19.8,890.0,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.20000000000004547,0
2022-04-24 18:00:00,0.0,75.0,19.6,900.5,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.10000000000002274,0
2021-09-29 19:00:00,0.0,79.0,21.3,894.6,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2023-03-24 10:00:00,0.0,94.0,16.7,900.5,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999929,-0.5,0
2021-06-08 10:00:00,0.0,92.0,15.6,899.3,NOVA_FRIBURGO,A624,2021,0.0,0.0,-1.0,0
2022-09-17 23:00:00,0.0,83.0,10.3,902.2,NOVA_FRIBURGO,A624,2022,0.0,0.2,-0.8000000000000682,0
2024-07-17 16:00:00,0.0,48.0,20.5,903.8,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2021-01-16 12:00:00,0.0,84.0,20.1,898.5,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.6000000000000227,0
2021-06-04 13:00:00,0.0,63.0,20.4,905.5,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.2999999999999545,0
2022-05-06 20:00:00,0.0,82.0,15.1,902.3,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.39999999999997726,0
2022-05-04 03:00:00,0.0,92.0,13.6,897.4,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2021-06-13 14:00:00,0.0,81.0,14.3,903.2,NOVA_FRIBURGO,A624,2021,0.20000000000000134,0.2,-0.3000000000000682,0
2021-11-05 09:00:00,0.0,92.0,12.4,894.3,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.599999999999909,0
2022-11-26 12:00:00,0.0,66.0,20.4,896.6,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.5,0
2024-08-27 02:00:00,0.0,91.0,8.6,904.8,NOVA_FRIBURGO,A624,2024,0.0,0.1999999999999858,-0.39999999999997726,0
2023-02-11 23:00:00,0.0,88.0,19.4,897.7,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.900000000000091,0
2021-04-01 06:00:00,0.0,86.0,15.3,892.6,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2025-03-31 00:00:00,0.0,90.0,19.2,898.1,NOVA_FRIBURGO,A624,2025,0.0,0.0,-0.7000000000000455,0
2023-08-15 04:00:00,0.0,94.0,13.2,902.8,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2021-08-11 08:00:00,0.0,93.0,6.1,899.8,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.09999999999990905,0
2025-01-26 23:00:00,1.8,91.0,18.5,897.8,NOVA_FRIBURGO,A624,2025,6.399999999999992,15.399999999999983,-0.8999999999999773,0
2023-02-09 00:00:00,0.6,91.0,18.2,897.4,NOVA_FRIBURGO,A624,2023,1.2,1.1999999999999929,-0.1999999999999318,0
2025-01-26 17:00:00,0.0,69.0,24.5,896.1,NOVA_FRIBURGO,A624,2025,0.0,0.0,0.0,0
2023-07-12 11:00:00,0.0,94.0,13.9,898.3,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.2999999999999545,0
2022-07-25 17:00:00,0.0,48.0,21.1,901.6,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2021-09-29 01:00:00,0.0,90.0,14.4,899.1,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.5,0
2021-01-26 15:00:00,0.0,54.0,26.3,898.7,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2022-08-20 23:00:00,0.0,90.0,9.2,908.0,NOVA_FRIBURGO,A624,2022,0.0,0.1999999999999998,-0.39999999999997726,0
2025-03-03 15:00:00,0.0,51.0,24.3,901.7,NOVA_FRIBURGO,A624,2025,0.0,0.19999999999998225,0.0,0
2021-02-19 11:00:00,0.0,91.0,18.8,894.7,NOVA_FRIBURGO,A624,2021,0.0,0.0,-1.0,0
2024-09-15 15:00:00,0.0,69.0,20.0,901.9,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2021-10-20 14:00:00,0.6,88.0,13.3,899.5,NOVA_FRIBURGO,A624,2021,2.0,10.799999999999999,-0.20000000000004547,0
2021-12-29 16:00:00,15.2,84.0,19.1,898.1,NOVA_FRIBURGO,A624,2021,15.199999999999996,15.2,0.0,0
2022-12-21 19:00:00,2.2,86.0,17.2,892.6,NOVA_FRIBURGO,A624,2022,2.999999999999991,6.6000000000000005,-0.20000000000004547,0
2023-07-24 16:00:00,0.0,55.0,20.9,904.6,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2021-09-28 06:00:00,0.0,92.0,16.3,900.4,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2022-05-12 14:00:00,0.0,89.0,16.6,898.3,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.09999999999990905,0
2022-01-15 09:00:00,0.0,92.0,16.9,902.1,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.6000000000000227,0
2022-04-26 05:00:00,0.0,92.0,12.7,900.9,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2021-06-21 17:00:00,0.0,67.0,15.4,900.3,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2022-04-06 19:00:00,0.0,86.0,18.5,898.0,NOVA_FRIBURGO,A624,2022,0.0,0.20000000000000023,-0.2999999999999545,0
2023-04-21 23:00:00,0.0,90.0,14.0,901.8,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.599999999999909,0
2023-11-15 11:00:00,0.0,65.0,26.8,896.7,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.10000000000002274,0
2024-07-11 07:00:00,0.0,94.0,12.6,900.8,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.1999999999999318,0
2023-01-01 07:00:00,0.0,92.0,16.4,897.6,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.10000000000002274,0
2021-09-17 19:00:00,0.0,73.0,18.9,900.8,NOVA_FRIBURGO,A624,2021,0.0,0.19999999999999957,0.0,0
2024-10-13 10:00:00,0.2,88.0,16.8,904.7,NOVA_FRIBURGO,A624,2024,0.1999999999999858,0.1999999999999857,-1.5,0
2025-03-06 00:00:00,0.0,82.0,17.7,901.9,NOVA_FRIBURGO,A624,2025,0.0,0.0,-0.8999999999999773,0
2024-02-27 02:00:00,,91.0,19.7,899.7,NOVA_FRIBURGO,A624,2024,,,0.0,0
2024-09-16 12:00:00,0.0,65.0,19.9,901.3,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.8999999999999773,0
2022-10-05 11:00:00,0.0,88.0,17.3,898.7,NOVA_FRIBURGO,A624,2022,0.0,0.2,-1.5,0
2021-07-07 21:00:00,0.0,88.0,10.7,901.6,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.3000000000000682,0
2024-05-12 18:00:00,0.0,38.0,26.9,895.8,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2023-06-17 15:00:00,0.0,90.0,13.7,901.8,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2024-02-03 06:00:00,,94.0,16.8,900.7,NOVA_FRIBURGO,A624,2024,,,0.0,0
